22038430	22039630	T
22041330	22041730	T
22042730	22043230	T
22043230	22044530	N
22045130	22046030	N
22058530	22059930	T
22060930	22062930	N
22063030	22067630	N
22073030	22074030	N
22075530	22076130	N
22077230	22078130	N
22078330	22080830	N
22082030	22084930	N
22085230	22089230	N
22100430	22101130	N
22140930	22142830	N
22143430	22144630	N
22145430	22146430	T
22149630	22155430	N
22156430	22158530	T
22158930	22160830	T
22162130	22164330	N
22165630	22167330	T
22176430	22177930	T
22224430	22225830	T
22230030	22232330	N
22235830	22236430	N
22237430	22238130	N
22239030	22242330	N
22244530	22250130	N
22250330	22251330	N
22254930	22256730	N
22263430	22265330	U
22268430	22269330	T
22277830	22279030	T
22280230	22282830	N
22284230	22285630	T
22290530	22291230	T
22292030	22292830	T
22293130	22301330	N
22302130	22303130	N
22306630	22307330	T
22311330	22313230	T
22313930	22316030	T
22316630	22318230	U
22336230	22338030	T
